|Unnamed: 0|confidence|description|image|label
0|0.0|1|His eye region is dark which may cause confusion.|194653|-1
1|1.0|2|Her face is at an angle rather than straight on.|184352|1
2|2.0|3|His glasses are clear and have a very thin, barely visible frame|181108|1
3|3.0|4|There is very little contrast between the glasses and the face.|177130|1
4|4.0|3|There isn't enough light for the algorithm to detect the glasses.|174902|1
5|5.0|3|There is an object near where glasses would be.|196676|-1
6|6.0|3|I think it may have been the color of the glasses. They are a reddish color which could have been confused as a skin color?|184352|1
7|7.0|3|These glasses are small and just cover the eye sockets so it could have been mistaken for dark eyes|186426|1
8|8.0|2|These glasses have very fine frames and are light looking, I think it would not have noticed this at all thinking it was the shape of the face|198586|1
9|9.0|4|The wire rims are difficult to see on this woman's face.|163971|1
10|10.0|3|The person's dark hair matches the color of the glasses so it may have all blended together to the algorithm.|173977|1
11|11.0|4|The shadows over this person's eyes form the shape of glasses.|195330|-1
12|12.0|3|because of the facial expression.|176303|1
13|13.0|3|because of the facial expression.|176441|1
14|14.0|3|because of the eye patch can fool you.|185071|-1
15|15.0|2|It may have thought the glasses were part of the helmet.|171231|1
16|16.0|3|The technology may have failed because it thought the person's hair was glasses.|186958|-1
17|17.0|3|The technology may have failed because the glasses are very clear and the glasses seem to blend in with the background and the man's wrinkles.|172423|1
18|18.0|4|The rims are see-through.|201383|1
19|19.0|2|It could be misconstrued as a piece of her hat.|163089|1
20|20.0|3|It can't see their entire face.|166285|1
21|21.0|4|He is squinting|179778|-1
22|22.0|4|Her skin color and the frame color|179027|1
23|23.0|4|They are sunglasses|171231|1
24|24.0|4|The glasses are clear|184910|1
25|25.0|3|The glasses are multi-shaded so it may not detect them correctly.|196277|1
26|26.0|0|Are goggles considered glasses?|177429|-1
27|27.0|3|The glasses are very thin and clear.|169691|1
28|28.0|3|The glasses are thin and clear.|167274|1
29|29.0|3|The glasses are thin and clear.|166203|1
30|30.0|4|The man's glasses are transparent and that has confused the algorithm.|198500|1
31|31.0|2|The man has a very distinct color of glasses that are quite red.|180858|1
32|32.0|1|The glasses are quite large and too big for the algorithm to detect.|189610|1
33|33.0|3|The fames of the glasses are similar in color to the persons skin.|176384|1
34|34.0|3|The glasses appear to be rimless or have a very small rim, which makes the lenses difficult to detect.|170048|1
35|35.0|3|The image is very low-resolution.|184000|-1
36|36.0|2|The glasses aren't as dark and you could see the person's eyes this may have confused it.|193523|1
37|37.0|3|The person is wearing eyeglasses that are clear where the frame of the glasses is clear and hard to distinguish with the background.|180246|1
38|38.0|1|The glasses are completely clear and the frames are very thin making it hard to distinguish.|163776|1
39|39.0|3|The man is facing to the side which might make it harder to detect.|170317|1
40|40.0|3|The glasses are very thin and blend into the skin.|164833|1
41|41.0|4|The eye patch looks like glasses over the eye.|185071|-1
42|42.0|4|Glasses frames are too thin.|165840|1
43|43.0|3|Frames blend into person.|169582|1
44|44.0|3|There is hair in front of the glasses|197174|1
45|45.0|3|The shadows and light used in the image make the outline of the glasses very hard to see.|164474|1
46|46.0|2|The glasses sort of blend in with the color of the person's face, so perhaps that confused the technology.|172353|1
47|47.0|3|The lenses of the glasses seem to be very thin and sort of hard to see because they also kind of blend in with the person's face.|182122|1
48|48.0|4|The glasses blend in with his face|187512|1
49|49.0|4|The background is also black|163795|1
50|50.0|3|The shading around her eyes look like lenses|194007|-1
51|51.0|4|The glasses this person is wearing are see through.|178693|1
52|52.0|4|The glasses in the image are clear.|169582|1
53|53.0|1|The glasses in the image are oddly shaped.|196277|1
54|54.0|4|around the eyes is a darker pigmented skin giving that illusion|177536|-1
55|55.0|3|I can only imagine that the hat is throwing things off|163795|1
56|56.0|4|The glasses are very thin and transparent and also at an angle.|172098|1
57|57.0|4|the glasses are clear|163259|1
58|58.0|4|The frame is skinny|198477|1
59|59.0|4|The reflection doesn't show much of the glass frame|164833|1
60|60.0|3|the glasses match the hat |162816|1
61|61.0|3|the glasses are too thin|186901|1
62|62.0|3|the glasses blend with the skin tone.|202032|1
63|63.0|2|The glasses are light in color.|193523|1
64|64.0|2|The frames are very thin.|166953|1
65|65.0|3|The glasses are hard to see.|165290|1
66|66.0|1|The brim of the hat the person is wearing in the image could be mistaken for a glasses frame.|184077|-1
67|67.0|0|The slightly odd hat and long beard could be throwing off the technology and making it think they're just part of the person's face.|180858|1
68|68.0|1|The glasses are very clear and don't show up on the person's face well, so it may not have detected that they were there at all.|168870|1
69|69.0|1|The picture is from the side and the glasses are an odd color.|193279|1
70|70.0|2|The glasses are blending in with his hair.|177977|1
71|71.0|2|The glasses might be blending in with his hair and hat.|169345|1
72|72.0|4|The glasses are spectacles and so they're clear and appear to almost not be visible on the left side of his face|191176|1
73|73.0|4|The man is raising his eyes intensely so the rim of the spectacles fall on his eyebrows and that's the confusion.|177075|1
74|74.0|4|The rounded rim met with his fake eyebrows painted on appear to be large and so the rim covers or lines up with the eyebrow a little.|166774|1
75|75.0|3|The guy's eyes are in the shadow of his visor.|170986|-1
76|76.0|2|There is a dark area of beard that might make the glasses look like part of the beard to the algorithm.|174632|1
77|77.0|3|His glasses blend in to his hat.|181756|1
78|78.0|4|The glasses are thin framed and it's low quality picture |183117|1
79|79.0|4|The glasses are thin framed and it's low quality picture |187156|1
80|80.0|3|Make have mistaken cause the lens are the same color as the hair|166149|1
81|81.0|4|There is a watermark over the glasses do the algorithm may not have seen them.|171326|1
82|82.0|4|They are quite difficult to see because the frames are clear. |179436|1
83|83.0|4|The lenses blend into the man's face and are difficult to see. |177130|1
